id,name,subject,meanScore,passRate,description,emoji,tags,units,bigIdeas,prerequisites,labRequirement,exam,examDate
2-d-art-and-design,2-D Art and Design,Arts,,,,,,,,,,,
3-d-art-and-design,3-D Art and Design,Arts,,,,,,,,,,,
art-history,Art History,Arts,3.0,62.7,,,,,,,,,
drawing,Drawing,Arts,,,,,,,,,,,
music-theory,Music Theory,Arts,,,,,,,,,,,
computer-science-a,Computer Science A,Computer Science,3.18,67.2,"Intro CS through object-oriented programming in Java: problem solving, algorithms, data structures, program design, and ethics.",💻,"programming,java,algorithms,data structures","Using Objects and Methods:15-25%,Selection and Iteration:25-35%,Class Creation:10-18%,Data Collections:30-40%","Design Code,Develop Code,Analyze Code,Document Code and Computing Systems,Use Computers Responsibly",Algebra I; strong foundation in linear functions and problem solving,Minimum 20 hours of structured programming lab experiences,"3 hours: 42 multiple choice (55%), 4 free-response (45%)",
computer-science-principles,Computer Science Principles,Computer Science,2.9,64.0,"Broad, introductory survey of computer science: data, algorithms and programming, computing systems and networks, and impacts of computing.",🧮,"computing,algorithms,data,networks","Creative Development:10-13%,Data:17-22%,Algorithms and Programming:30-35%,Computing Systems and Networks:11-15%,Impact of Computing:21-26%","Creative Development,Data,Algorithms and Programming,Computing Systems and Networks,Impact of Computing",Algebra I; comfort with coordinates and problem solving; no prior CS required,Create Performance Task completed in class (~9 hours),"3 hours: 70 multiple choice (70%), 1 free-response (30%)",
english-language-and-composition,English Language and Composition,English,2.79,54.6,,,,,,,,,
english-literature-and-composition,English Literature and Composition,English,3.16,72.4,,,,,,,,,
research,Research,Interdisciplinary,3.35,79.4,,,,,,,,,
seminar,Seminar,Interdisciplinary,3.54,67.0,,,,,,,,,
calculus-ab,Calculus AB,Mathematics,3.22,64.4,"First-semester college calculus focused on limits, derivatives, integrals, differential equations, and applications with multi-representational reasoning.",∫,"calculus,derivatives,integrals,modeling","Limits and Continuity:10-12%,Differentiation Definition and Fundamental Properties:10-12%,Differentiation Composite Implicit and Inverse Functions:9-13%,Contextual Applications of Differentiation:10-15%,Analytical Applications of Differentiation:15-18%,Integration and Accumulation of Change:17-20%,Differential Equations:6-12%,Applications of Integration:10-15%","Change,Limits,Analysis of Functions","Algebra, geometry, trigonometry; fluency with functions and unit-circle trig",None,"3 hours 15 min: 45 multiple choice (50%), 6 free-response (50%)","May 8, 2024",
calculus-bc,Calculus BC,Mathematics,3.92,80.9,"Full year of college calculus (Calc I & II): AB topics plus parametric, polar, vectors; advanced integration; sequences and series.",∑,"calculus,series,parametric,polar","Limits and Continuity:4-7%,Differentiation Definition and Fundamental Properties:4-7%,Differentiation Composite Implicit and Inverse Functions:4-7%,Contextual Applications of Differentiation:6-9%,Analytical Applications of Differentiation:8-11%,Integration and Accumulation of Change:17-20%,Differential Equations:6-9%,Applications of Integration:6-9%,Parametric Polar Vector-Valued Functions:11-12%,Infinite Sequences and Series:17-18%","Change,Limits,Analysis of Functions","Algebra, geometry, trigonometry; strong fluency with functions and trig; exposure to sequences/series helpful",None,"3 hours 15 min: 45 multiple choice (50%), 6 free-response (50%)",
precalculus,Precalculus,Mathematics,3.42,75.6,"College precalculus emphasizing functions for modeling dynamic phenomena across algebra, trigonometry, and foundational topics.",📐,"functions,trigonometry,modeling,algebra","Polynomial and Rational Functions:30-40%,Exponential and Logarithmic Functions:27-40%,Trigonometric and Polar Functions:30-35%,Functions with Parameters Vectors and Matrices:Not assessed","Procedural & Symbolic Fluency,Multiple Representations,Communication & Reasoning","Proficiency with AGA topics including linear & quadratic functions, trig, systems, exponents, radicals, complex numbers",None,"3 hours: 40 multiple choice (62.5%), 4 free-response (37.5%)",
